"","PID","home.size","lot.size","rooms","bathrooms","utilities","year.built","overall.condition","brick","price"
"40",40,1839,2.6,7,1.5,259,2004,5,"No",169900
"56",56,1908,0.46,7,2,244,2007,4,"Yes",163000
"85",85,864,0.32,4,1,265,2005,5,"No",126000
"134",134,2473,1.25,9,2.5,223,2007,7,"Yes",220000
"30",30,2000,0.5,8,2,264,1971,5,"Yes",163000
"131",131,2000,0.65,7,1,263,1952,4,"Yes",171000
"137",137,2300,0.91,8,2.5,252,2000,7,"No",224500
"95",95,1980,0.7,8,2.5,259,1978,3,"Yes",194900
"90",90,2400,2,7,2,202,1999,5,"No",295000
"9",9,3700,1.1,10,3,256,1996,5,"No",183500
"29",29,1248,0.22,7,1,254,1971,5,"No",154900
"25",25,2400,0.4,7,2.5,250,1970,5,"Yes",176000
"143",143,1786,0.3,8,2,223,1952,4,"No",182500
"53",53,2516,8.1,7,2.5,215,1998,6,"No",315000
"105",105,2100,0.5,8,2.5,254,1959,7,"No",245000
"68",68,2000,0.6,9,2.5,259,1984,5,"No",210500
"97",97,1800,0.68,7,2,278,2002,5,"No",184000
"132",132,2600,0.75,8,2,216,1955,4,"No",215000
"51",51,1296,0.5,9,1,260,2001,5,"Yes",157500
"102",102,1600,0.26,8,1.5,239,2006,3,"No",156500
"122",122,2400,0.7,8,3,196,1959,5,"No",205000
"28",28,1610,0.45,8,1.5,264,1971,5,"No",169500
"84",84,1900,1,8,2.5,245,2004,5,"No",190000
"16",16,1300,0.78,6,1,272,2010,2,"No",151900
"34",34,2500,0.92,8,3,211,1978,7,"Yes",299900
"49",49,1960,1.33,8,2.5,257,2004,5,"No",226800
"2",2,1050,0.43,5,1.5,216,1961,6,"No",146300
"48",48,1575,0.25,7,1.5,251,2004,5,"No",171000
"107",107,1660,0.21,7,1,211,1967,6,"No",119900
"42",42,1625,0.36,7,1.5,261,2002,4,"No",165000
"58",58,3500,1,10,2.5,254,1996,5,"No",171000
"72",72,2300,0.65,7,3,249,1950,5,"No",186000
"59",59,1100,0.33,6,1,206,2008,5,"No",163000
"22",22,1344,0.94,6,2,245,1970,5,"No",158500
"96",96,1289,0.25,6,1,241,2005,4,"Yes",140000
"77",77,1526,0.3,7,1.5,261,2010,5,"No",165500
"91",91,1100,1.1,6,1,254,2003,5,"No",146000
"13",13,1680,14.37,8,2,250,1998,5,"No",253000
"82",82,2265,0.85,8,2.5,278,2005,7,"Yes",225000
"46",46,1956,0.5,8,2.5,277,2006,5,"No",194000
"114",114,1700,0.3,8,2,250,2008,3,"Yes",156500
"71",71,2277,0.8,8,3,247,1981,6,"Yes",200000
"148",148,1080,0.31,5,1,198,1966,5,"Yes",145000
"60",60,2300,5.63,7,2.5,260,2005,5,"No",220000
"57",57,1122,3.09,5,2,223,1998,5,"Yes",180000
"83",83,1300,0.65,5,1,254,2004,5,"Yes",155000
"3",3,1800,0.68,7,1.5,207,1958,6,"No",182000
"50",50,1200,0.33,5,1,247,2000,5,"Yes",155000
"75",75,2680,0.5,9,3,246,1967,5,"No",195000
"70",70,1036,0.95,6,1,260,1985,5,"No",138000
"123",123,1900,0.44,6,2,215,1959,5,"Yes",174900
"86",86,2000,0.75,9,1.5,207,2005,5,"Yes",172000
"43",43,2000,0.11,8,2,264,2006,5,"No",162000
"24",24,1500,0.41,7,1,255,1968,6,"Yes",172000
"7",7,1008,0.5,6,1,243,2001,5,"Yes",147000
"10",10,1092,0.26,6,1,222,1999,5,"No",156500
"146",146,1165,0.12,6,1,257,1960,2,"No",128000
"125",125,2981,1.3,10,3.5,217,1959,6,"Yes",261750
"61",61,1118,0.56,7,1.5,247,2005,5,"No",155900
"38",38,1450,0.3,7,1,245,2005,5,"No",174900
"136",136,3100,0.54,10,3.5,250,2003,7,"Yes",247000
"27",27,1050,1,5,1,257,1999,3,"No",156500
"41",41,2016,0.78,8,2.5,286,2010,5,"No",213000
"140",140,1650,0.5,8,2.5,202,2007,4,"No",170000
"149",149,2820,1,9,2.5,237,2004,7,"Yes",305000
"117",117,2320,0.4,8,2.5,257,1954,6,"Yes",195000
"88",88,1900,0.75,7,2,254,2000,5,"Yes",181500
"64",64,1552,0.46,6,1.5,244,2002,5,"No",172500
"116",116,1850,0.26,9,2,261,1954,5,"No",157500
"109",109,1400,0.35,6,2,255,1964,5,"Yes",165000
"129",129,875,0.26,5,1,223,1959,5,"No",115000
"67",67,1248,0.3,6,1,195,1979,5,"No",147000
